Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
Top Dog Entertainment,http://www.topdogentertainment.com.au,,Entertainment,2-10 employees,"Melbourne, Victoria",Public Company,1990,"B3/8 Rogers Street Port Melbourne, Melbourne, Victoria 3207, AU", , ,"Corporate Entertainment, Wedding Entertainment, and Entertainment Design"
Universal Sony Pictures Home Entertainment,https://www.facebook.com/TheViewingLounge,,Entertainment,51-200 employees,"Sydney, NSW",Privately Held,,"Sydney, NSW 2000, AU", , , 
Reading Entertainment Australia Pty Ltd,http://www.readingcinemas.com.au,,Entertainment,"501-1,000 employees","South Melbourne, VIC",Privately Held,1996,"Level 1, 98 York Street,, South Melbourne, VIC 3205, AU", , ,"Cinema Hire, Corporate and Private Bookings, Group Bookings, Gold Lounge, Titan XC, Family Friendly, TITAN LUXE, Premium Cinema, and Special Event Screenings"
Snappy Entertainment,http://www.snappyphotobooths.com.au,1300885346,Entertainment,11-50 employees,"Alexandria, NSW",Privately Held,2011,"Suite 54, 51 Bourke Road, Alexandria, NSW 2015, AU", , ,"Photobooth, Event Marketing, Event Services, Experiential Marketing, Event Entertainment, Entertainment Hire, Photo Booth Hire, and Photo Booth"
Primetime Entertainment & Events,http://www.primetimeent.com.au,,Entertainment,2-10 employees,,Sole Proprietorship,2010,"PO BOX 2960, Darwin, NT 0801, AU", , ,"Commercial Entertainment Consultants, Public Events, Entertainment Production, Artist Relations & Development, and Corporate & Domestic Entertainment"
EAO Entertainment,http://www.eao.com.au,,Entertainment,2-10 employees,"Newcastle West, NSW",Privately Held,1989,"29 Beresford Street, Newcastle West, NSW 2303, AU",-32.924943,151.760217,"Venue Services, Artist Services, Wedding & Event Entertainment, and Live music events & tours"
MGI Entertainment,http://www.MGIEntertainment.com,,Entertainment,11-50 employees,"Sydney, NSW",Privately Held,2010, ,-19.55592,127.662173,"Strategic partnerships, celebrity consulting, event sponsorship, branding, marketing, media, celebrity placement, sports & music sponsorship, event management,, KOL strategy, Influencer strategy, celebrity strategy, East/West, Australian brands, Chinese Celebrities, Ultimate Experiences, Production , PR, Marketing, and China strategy"
Elevate Entertainment, ,,Entertainment,2-10 employees,"Melbourne, Victoria",Self-Employed,2020,"Melbourne, Victoria 3012, AU",-37.825071,144.978682,"Entertainment, Fire Performance, Stilt Walking, LED Performance, Roving Characters, Stage Shows, Go-Go Dancers, Solo Performance, Large Scale Group Performance, Fire Eating, Fire Breathing, and Fire Effects"
Mondo Entertainment Pty Ltd,http://www.mondoentertainment.com.au,,Entertainment,2-10 employees,"GLADSTONE PARK, VIC",Sole Proprietorship,1980,"2, LLOYDS PLACE, GLADSTONE PARK, VIC 3043, AU",-37.689467,144.89425,"Artist Management, Artist Booking, Supply of Entertainment, Security, Catering, & more, and All musical genres catered for"
AZURE ENTERTAINMENT,http://www.azureentertainment.com.au,,Entertainment,11-50 employees,"PERTH BC, WA",Privately Held,2009,"PO BOX 8292, PERTH BC, WA 6849, AU",-23.992438,134.050443,"Trained Professional Dancers, Circus Artists, Musicians, Singers, Hostesses, Entertainers, Instructors, Corporate Entertainment, Full Stage & Floor Shows, Launches, Festivals, Instrumentalists, Cabaret, and Variety"
VA Entertainment,https://vaentertainment.co,,Entertainment,2-10 employees,"Gold Coast, QLD",Privately Held,2017,"5 Lawson St, Southport, 5, Gold Coast, QLD 4215, AU", , ,"Entertainment, Content Creator, and Entrepreneur"
GWB Entertainment Pty Ltd,http://www.gwbentertainment.com,,Entertainment,11-50 employees,"Adelaide, SA",Privately Held,2010, , , , 
Sun Entertainment Production Australia,http://www.suneg.com/en/,,Entertainment,2-10 employees,,Privately Held,,"Sydney,   AU",-33.868633,151.209421, 
Stuart Entertainment,https://www.stuartentertainment.com.au/,+61 408-788-278,Entertainment,2-10 employees,"Sydney, New South Wales",Privately Held,2017,"Greenknowe Ave, Sydney, New South Wales 2011, AU",-33.868633,151.209421,"Production , Distribution , Creative, Content  Strategy, Content Development , Format Adaptation, OTT, and Entertainment Consulting"
Next Tier - Entertainment | Gaming & Esports,https://www.nexttier.com.au/,406427197,Entertainment,2-10 employees,,Sole Proprietorship,2015,"N/A, Darwin, NT  0800, AU", , ,"esports events, esports entertainment , carrers in esports, community events , online events , VR esperience, Eleagues , karaoke, and events"
Lexair Entertainment Pty Ltd,http://www.lexair.com.au,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,2011,"Macquarie Park, Sydney, NSW  AU",-33.780703,151.127921,"Entertainment Lighting, Media Servers, Video Tools, Moving Lights, Lighting Consoles, LED Lighting, and Video Converters"
Fika Entertainment,http://fikaent.com,,Entertainment,11-50 employees,"Oxenford, QLD",Privately Held,2019, ,-16.922695,145.774345, 
Moving Story Entertainment ,http://www.lidocinemas.com.au,,Entertainment,51-200 employees,"Elsternwick, Victoria",Privately Held,,"9 Gordon St, Elsternwick, Victoria 3185, AU",-37.883843,145.000686, 
Instinct Events & Entertainment,https://instinctmusic.com.au,,Entertainment,2-10 employees,"Prahran, VIC",Privately Held,1998,"45 Porter St, Prahran, VIC 3181, AU",-37.848173,144.990394,"Live Music, Live Bands, Live Entertainment, DJ's, Corporate Event Entertainment, Keynote Speakers, Team Building, Corporate Shows, Roving Performers, Master of Ceremonies, Comedians, and Event Management"
Blue Planet Entertainment,http://www.blueplanetentertainment.net.au,0418 364 728,Entertainment,0-1 employees,"Melbourne, Victoria",Privately Held,2011,"440 Collins Street, Level 9, Melbourne, Victoria 3000, AU", , ,"Entertainment Agents, Corporate Entertainment Agency, Wedding Bands, Duo and Trio, Jazz Bands, Corporate Entertainers, Audio Visual Hire, Audio Visual Support, Cover Bands, Showbands, Jewish Weddings, Bar/Batmitzvah, and Event Management"
FIRE ENTERTAINMENT,http://firemusic.com.au,+61 499184243,Entertainment,2-10 employees,"Surry Hills, NSW",Privately Held,2014,"Suite 334/410 Elizabeth Street, Surry Hills, NSW 2010, AU",-33.885985,151.208532,"Talent & Project Development, Talent Mentoring & Advise, Talent & Project Management, Entertainment Marketing & Promotions, Branding, Event Development & Coordination, Touring, Bookings, Online Solutions & Promotions, Strategy, Pop Up Events, Event & Touring, and Production"
Newcastle Entertainment Centre (ASM Global),http://www.nec.net.au,249212100,Entertainment,11-50 employees,"Broadmeadow, Newcastle, Australia",Public Company,1992,"Broadmeadow, Newcastle, Australia 2292, AU",-32.924752,151.729586,"Concerts, Exhibitions, Functions, Sporting Events, Expos, and Events"
Bloom Entertainment by Design,http://www.bloomentertainment.com.au,,Entertainment,2-10 employees,,Sole Proprietorship,2005,"Melbourne,   AU",-37.825071,144.978682,"Melbourne Entertainers, Wedding Entertainment, Corporate Entertainment, and Entertainment for Festivals, Fete & Carnivals"
OZPIX Entertainment,http://www.ozpixent.com,,Entertainment,11-50 employees,"GOLD COAST, QLD",Privately Held,2010,"PO Box 2773, Burleigh Waters MC, GOLD COAST, QLD 4220, AU",-28.079934,153.435343,"Motion Picture Production, Entertainment Marketing, TV & Documentary Production, Producers Representative, and Brand Management"
Yarnberg Entertainment,tel:0449573386,,Entertainment,0-1 employees,"Melbourne, Victoria",Self-Employed,2020,"Melbourne, Victoria  AU",-37.825071,144.978682,"trivia, events, corporate events, emcee, corporate trivia, corporate entertainment, and corporate events"
Victory Hill Entertainment Group,http://www.victoryhill.com,,Entertainment,2-10 employees,,Privately Held,2005, ,-37.296341,143.787372,"Branded Entertainment, Licensed Entertainment, Social Media, Interactive Media, Children's Products, Web Development, Museum Exhibitions, Live Experiences, Film Production, Virtual Reality, and Television Production"
Rutherford Entertainment,http://www.rutherfordentertainment.com.au,,Entertainment,2-10 employees,"Cremorne, VIC",Privately Held,, ,-32.712557,151.509698,"Entertainment, Booking Agency, and Events"
IZIT Entertainment,http://izitentertainment.com.au,0411 663 011,Entertainment,2-10 employees,"Brisbane, Qld",Sole Proprietorship,1990,"Brisbane, Qld 4051, AU",-27.469309,153.026164,"entertainment, roving performances, stiltwalkers, music, magic, dance, impersonators, circus, and comedy"
ON EARTH ENTERTAINMENT ,http://www.onearthentertainment.com,+61 415 29 1111,Entertainment,2-10 employees,"Warrandyte, VICTORIA",Privately Held,2019,"Warrandyte, VICTORIA 3113, AU",-37.760098,145.245251,"performing arts, allabilities, musicstudio, radiostation, communityinclusion, disabilities, entertainment, and Diversity"
JLD.ENTERTAINMENT & PRODUCTIONS PTY LTD,http://www.jldentertainment.com.au,,Entertainment,2-10 employees,"Sydney, NSW",Sole Proprietorship,2011,"Sydney, Sydney, NSW  AU",-33.868633,151.209421,"Corporate Entertainment, Sporting Entertainment, Dancers, Event Entertainment, promotional staff, Hosts, MC's, and DJ's"
Colors Entertainment,http://www.colorsentertainment.com,,Entertainment,2-10 employees,"South Melbourne, Victoria",Privately Held,1996,"295 Bank Street, South Melbourne, Victoria 3205, AU",-37.836066,144.955089,"Tailored Entertainment, Corporate Entertainment, Artist Management, and Talent Management"
DAPS Entertainment,https://dapsentertainment.com/,410121213,Entertainment,2-10 employees,"Box Hill , Victoria",Partnership,,"Box Hill , Victoria 3128, AU",-37.829038,145.124741,"Entertainment , Entertainment Agency, Artist Management, Live Music, Tribute Shows, Duos, Bands, Corporate Acts, MC's, and Presentations"
No Right Turn Entertainment,https://www.norightturnband.com,0422 694 034,Entertainment,2-10 employees,"Rochedale South, QLD",Privately Held,2008,"Rochedale South, QLD 4123, AU",-27.587654,153.122135,"Entertainment, Musician, Corporate Band, Party Band, Wedding Band, Acoustic Solo Artist, Acoustic Duo Act, Cover Band, 90s Tribute Band, Live Entertainment, Rock Band, Digital Content Creation, Music Production, Music Recording, Video Services, Design Services, and Social Media Management"
Cochrane Entertainment Group,http://www.cochraneent.com,,Entertainment,2-10 employees,"Chevron Island, Queensland",Privately Held,,"64 Thomas Drive , Chevron Island, Queensland 4217, AU",-27.998493,153.419823, 
Newman Entertainment International,http://www.newmanentertainment.net,(07)55634900,Entertainment,51-200 employees,"Melbourne, VIC",Privately Held,1960, , , ,Entertainment and Attractions
Rocksteady | Entertainment / Events / Marketing,http://www.rocksteady.com.au,,Entertainment,2-10 employees,"Melbourne, Victoria",Partnership,2005,"Melbourne, Melbourne, Victoria  AU",-37.825071,144.978682,"Event Management, Marketing, Advertising, Promotions, Entertainment, and Bookings"
Elliot Goblet Entertainment,https://www.elliotgoblet.com.au/,0408 397 122,Entertainment,2-10 employees,"Elwood, Victoria",Privately Held,2015,"Dickens St, Elwood, Victoria 3184, AU", , ,"Entertainment, Comedian, Corporate Events, MC, and Wedding MC"
JC Entertainment & Events,http://www.jcentertainment.com.au,,Entertainment,11-50 employees,"West Gosford, NSW",Privately Held,2015,"4/13 Enterprise Close, West Gosford, NSW 2250, AU",-33.412325,151.333536,"Entertainment, Sound, Lighting, Production, and Customer Service"
Vavachi Entertainment,http://www.vavachi.com.au,,Entertainment,11-50 employees,"Paradise Point, Queensland",Privately Held,2001,"Po Box 1412, Paradise Point, Queensland 4216, AU",-27.891817,153.374005,"Entertainment Broadway & Opera & Swing, Opera/Music in the Park, Singers, Performers, and Musicians, and Surprise Singing Waiters"
FeverPitch Entertainment,http://www.feverpitchentertainment.com,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,2010,"26 Wentworth Ave, Surry Hills, Sydney, NSW 2010, AU",-33.878172,151.211651,"Television, Entertainment, Film, Web series, Theatre, and Story Telling"
Resident Entertainment,https://residententertainment.com.au/,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,2012,"1, Sydney, NSW 2000, AU",-33.901541,151.198098,"Film, Gaming, Television, Entertainment, News, Reviews, Movie Reviews, Game Reviews, and TV Show Reviews"
Mas Entertainment,http://masentertainment.com.au,417605655,Entertainment,2-10 employees,"Mermaid Beach, Queensland",Public Company,2000,"397 PO Box, Mermaid Beach, Queensland 4218, AU",-34.018551,151.082731,"Bookings, Event Coordination, Entertainment, Comedians, Dancers, Bands, Musicians, Event Planning, Speakers, Special Events, Weddings, Wedding entertainment, and Corporate Events"
GENR8 Entertainment,http://www.genr8ent.com.au/,,Entertainment,2-10 employees,"Wallsend, NSW",Privately Held,2008,"69 Cowper St, Wallsend, NSW 2287, AU",-32.90292,151.670548,"Entertainment, Wedding Entertainment, Venue Consultancy, Videography, Digital Marketing, Social Media Management, and Marketing"
Ministry of Entertainment & Production,http://www.ministryofentertainment.com.au,,Entertainment,2-10 employees,"North Melbourne, Victoria",Public Company,2008,"Level 1, 64-90 Sutton Street, North Melbourne, Victoria 3051, AU", , ,"Theatre, Events, Talent, Dance, Entertainment, Agency, Stage, Costume, Choreography, Production, Casting, and Creative Direction"
Sparklight Entertainment,http://www.sparklight.me,,Entertainment,2-10 employees,"Surry Hills, Sydney, NSW",Sole Proprietorship,2008,"Level 3, 74-84 Foveaux St, Surry Hills, Sydney, NSW 2010, AU",-33.884537,151.211753,"Children's Branded Entertainment, Children's TV, Character costumes - licensed, and online children's books"
Derwent Entertainment Centre,http://derwent.com.au,,Entertainment,51-200 employees,,,1989,"601 Brooker Highway, Glenorchy, TAS 7010, AU",-42.824571,147.282261,"Live Entertainment (International & Local), Business Events, Sporting Events, Conferences & Trade Exhibitions, Dinners, Weddings, Conventions, Musical Theatre, and Bars"
Supagroup Entertainment,https://Supaworld.com.au/,,Entertainment,51-200 employees,"GROVEDALE, VIC",Privately Held,2014,"3/174 Torquay Road, 174 Torquay Roa, GROVEDALE, VIC 3216, AU",-38.202128,144.334196,"Indoor Entertainment, Franchise, Franchising, Entertainment, and Family Entertainment"
Australian Entertainment Services Pty Ltd,http://australianentertainmentservices.com.au/,,Entertainment,11-50 employees,"Melbourne, Vic",Sole Proprietorship,1991,"240 Rae Street, North Fitzroy, Melbourne, Vic 3068, AU",-37.80105,144.979131,"Musician & Booking Agent, Corporate Events, Event Management, Stage, Lighting and PA Systems, Tribute Shows, Wedding Entertainment, Cover Bands, Master of Ceremonies, Solos, Duos and Trios, Comedians, Children's Entertainment, Celebrities, and Themeing and Attractions"
BBC Entertainment,http://bbcentertainment.com.au,,Entertainment,2-10 employees,"Burswood, Western Australia",Sole Proprietorship,1968,"156 Burswood Road, Burswood, Western Australia 6100, AU",-31.965228,115.898118, 
Adventure Entertainment,http://www.adventureentertainment.com,61413183840,Entertainment,11-50 employees,"Crows Nest, New South Wales",Privately Held,2016,"133 Holtermann St, Crows Nest, New South Wales 2065, AU",-33.8258,151.205973,"Film Distribution, Events, Publication, Advertising, and Sponsorship"
Untamed Entertainment,http://www.untamedentertainment.com.au,,Entertainment,0-1 employees,"Sydney, New South Wales",Sole Proprietorship,2017,"Oxford St, Sydney, New South Wales 2010, AU",-33.868633,151.209421,"Corporate Event Entertainment, Wedding Entertainment, Entertainment Agency, Entertainment Supplier, Burlesque Performers, Drag Queen Entertainers, Shirtless Waiters, Snake Charmers, Fortune Tellers, Belly Dancers, Boylesque Performers, Cocktail Hostesses, Fire Dancers, Martini Glass Acts, Singing Telegrams, Contortionists, Customised Entertainment Options, Sydney Entertainment Specialists, Private Party Entertainment, Interactive Classes and Experiences, Hens Party, Sydney Entertainers, and Aerialists"
PADJ Entertainment,http://www.padj.com.au,,Entertainment,2-10 employees,,Sole Proprietorship,1989,"Melbourne,   AU",-37.825071,144.978682,"Disc jockey entertainment, Audio production, Event lighting hire, and PA system hire"
Pistachio Entertainment Pty Ltd,https://pistachioentertainment.com,0403 226 822,Entertainment,2-10 employees,"Sydney , Sydney",Public Company,2010,"PO 654 Gladesville , Sydney , Sydney  2111, AU",-33.868633,151.209421,"Children's Entertainment, Live Shows, Event Planning, Corporate Entertainment, Roving characters, Interactive Zones, Face paining, Balloon Twisting, Birthday Parties, and Active Children's Programs"
LLSTUNT Entertainment,http://www.LLSTUNT.com,,Entertainment,2-10 employees,"Melbourne, Victoria",Public Company,2004,"Bentleigh, Melbourne, Victoria  AU",-37.924061,145.039255,Live Entertainment and Specialist motorcycle riding
Alianah Entertainment,http://www.alianahentertainment.com,0403 668 087,Entertainment,0-1 employees,"Brisbane, Queensland",Sole Proprietorship,2012,"977 Stanley St E, Brisbane, Queensland 4169, AU",-27.488495,153.047213,"Live Music, Events, Entertainment, Event Planner, Event Organisation, corporate events, weddings, DJs, Music, Singer, Band, Catering, Event Coordination, Gifts, Event management, Corporate entertainment, function manager, corporate functions, live band, wedding singer, wedding entertainment, flowers, gift bags, and client gifts"
Discovery Inc,https://corporate.discovery.com/,,Entertainment,"10,001+ employees",,Public Company,1985, ,-38.192963,141.292058,"Television, Media, Digital Media, Entertainment, Multiplatform, Education, Virtual Reality, Social Media, Storytelling, Sports, and golf"
Darwin Entertainment Centre,http://www.yourcentre.com.au,,Entertainment,51-200 employees,"Darwin, Northern Territory",Nonprofit,,"93 Mitchell Street, Darwin, Northern Territory 0800, AU",-12.460752,130.836445, 
Unplugged Entertainment,http://www.unpluggedentertainment.com.au,488202929,Entertainment,2-10 employees,"Oakleigh South, Victoria",Public Company,2017,"23 Ward Ave, Oakleigh South, Victoria 3167, AU",-37.912798,145.086643,"Music Entertainment, Acoustic Entertainment, Acoustic Artists, DJ Services, DJ/Vocalist Combinations, Solo artists, and Duo Acts"
NuFlava Entertainment,http://www.nuflava.com.au,,Entertainment,2-10 employees,"Brisbane, Queensland",Sole Proprietorship,2005,"PO Box 15441, City East, Brisbane, Queensland 4000, AU",-37.139577,142.519224,"Wedding Entertainment, Corporate Entertainment, Sound and Lighting, and Staging and Production"
DJ Entertainment Events,http://www.djentertainmentevents.com,434752933,Entertainment,2-10 employees,"West Perth, WA",Sole Proprietorship,2019,"Level 3/1060 Hay St, West Perth, WA 6005, AU",-31.94995,115.84831,"wedding dj, wedding mc, corporate events, corporate mc, corporate dj, special ocasion entertainment, party dj, perth wedding dj, engagement party , birthday party, event photography, and wedding photography"
HARC Entertainment,http://www.harcentertainment.com,415703278,Entertainment,2-10 employees,"Sydney, NSW",Self-Employed,2013, ,-19.55592,127.662173,"Live Music, Entertainers, Live Shows, Live Performance, Retail, Bands, Solo Performer, DJ, Marketing Activation, Singers, Promotional Staff, Christmas Entertainment, Festivals, Corporate Events, Product Launches, Dancers, Live Show, Experiential Marketing, Live music Sydney, Live Music Melbourne, Live music Brisbane, and Event Entertainment"
Activision,https://careers.activision.com/?utm_source=linkedin,,Entertainment,"5,001-10,000 employees",,Public Company,, , , ,"Video Games, Publishing, Entertainment, and Media"
WIN Sports & Entertainment Centres,https://wsec.com.au/,02 4220 2800,Entertainment,11-50 employees,"Wollongong, NSW",Public Company,1911,"Corner Crown & Harbour Streets , Wollongong, NSW 2500, AU",-34.71667,138.58333,"Sporting Events, Concerts, Comedy Shows, Kids Entertainment, and Corporate Functions"
PureSpells Entertainment,http://www.purespellsentertainment.com,,Entertainment,11-50 employees,,Privately Held,2010,"sydney, nsw 2000, AU", , ,Filmmaking and Entertainment
Feature Entertainment (Australia),http://www.featureentertainment.com.au,,Entertainment,2-10 employees,"Cobaw, Victoria",Partnership,,"88 McKinley Trak, Cobaw, Victoria 3442, AU",-37.26667,144.63333,"Live Performances, Bespoke Entertainment, Music, Comedy, Corporate Entertainment, conference entertainment, Quiz, and Themed Entertainment"
iRock Entertainment,http://www.irockentertainment.com,,Entertainment,11-50 employees,"Sydney, NSW",Public Company,2011,"Suite 202, 20 Bayswater Rd, Potts Point, Sydney, NSW 2011, AU",-33.874811,151.223886,"Event production and marketing, Graphic Design, Talent Management Services, Website Design, Promotions, Print, Australia wide distribution, and Social Media / Digital strategy"
MnB Entertainment,http://www.mnbentertainment.com.au,,Entertainment,2-10 employees,,Educational Institution,,"4132, AU",-27.680641,153.090763, 
Vokyo Entertainment,http://www.vokyo.tv,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,2003,"Bondi,, Sydney, NSW 2026, AU",-33.868633,151.209421,"Broadcast, Content, Marketing, and Advertising"
Fist Pump Entertainment Group Pty Ltd,http://www.fistpump.com.au,,Entertainment,2-10 employees,"Oatley West, NSW",Public Company,2010,"PO Box 1042, Oatley West, NSW 2223, AU",-33.977298,151.073542,"Event Management, Special Events, Entertainment Hire, and Entertainment Management"
MVP Entertainment,http://www.mvpentertainment.com.au,,Entertainment,51-200 employees,"Melbourne, Victoria",Sole Proprietorship,2004,"Australia, Melbourne, Victoria 3000, AU", , ,"Managing events, Promoting events, Producing events, and Managing talent"
Howlaround Entertainment Group,http://www.howlaroundeg.com,+1 323 348 6697,Entertainment,2-10 employees,,Privately Held,, , , , 
Fresh Creative Entertainment,http://www.FreshCreativeEntertainment.com,417383129,Entertainment,11-50 employees,"Geelong, Victoria",Privately Held,2008,"Geelong, Victoria 3212, AU",-38.150785,144.361579,"Unique Performances, Roller Skating, Roving artists, Circus acts, Dance shows, flash mobs, Blended Shows, wedding entertainment, and wedding dance"
Exile Entertainment Pty Ltd,http://www.exileent.com,,Entertainment,2-10 employees,"Docklands, Victoria",Privately Held,2015,"430 Little Collins St, Docklands, Victoria 3008, AU",-37.818898,144.948291,"Film & TV production, Film & TV distribution, Marketing, Theatrical releases, Creative collaboration, Leadership, Digital advertising, Media streaming, and Short film distribution"
