Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
D & R Accounting 4 U,http://www.moocuzzi.com.au,,Accounting,2-10 employees,"Kedron, Queensland",Partnership,2007,"Avenue, Kedron, Queensland 4031, AU",-27.401533,153.029126,"Bookkeeping, Accounting, Training, and Business Support and Training"
Davidsons Accountants and Business Consultants,http://www.davidsons.com.au,,Accounting,51-200 employees,"Newtown`​, VIC",Privately Held,1905, ,-36.759103,144.286122,"Taxation Services, Business Succession and Transition, Personal Financial Services, Audit and Assurance Services, Retirement Planning and Self Managed Superannuation Services, Business Advisory Services , Bookkeeping & Cloud Accounting Services, Financial and Wealth Management , Personal Insurance Services, Estate and Tax Planning, and Mortgage and Lending"
Interactive Accounting,http://www.interactiveaccounting.com.au,,Accounting,11-50 employees,"Sydney, NSW",Privately Held,2009, ,-37.79757,144.98544,"Systems & E-Commerce advice, Implementations, Support, Bookkeeping, Compliance for all entities, Foreign Business, vCFO for SME & Mid Market, and Advisory"
Hall Chadwick,http://www.hallchadwick.com.au,,Accounting,201-500 employees,"Sydney, NSW",Partnership,1886, ,-33.839545,121.88493,"Corporate Services, Taxation, Audit and Assurance, Insolvency & Business Recovery, Business Advisory, Financial Planning, Consulting, Turnaround Management, Corporate Finance, Personal Insolvency, Property Industry, Start-Ups, and Business Servies"
Australian Bookkeepers Network,http://www.austbook.net/,1300 856 710,Accounting,11-50 employees,"Springwood, QLD",Privately Held,2001,"Dennis Road, Springwood, QLD 4217, AU",-27.620836,153.138615,"Bookkeeping Network, ABN Payroll, ABN BAS, Bookkeeping, Technical Information, Conferences, Webinars, Technical Publications, BAS, Payroll, Bookkeeping, BAS Agents, and Business Support"
Mazars in Australia,http://www.mazars.com.au,,Accounting,201-500 employees,,Privately Held,, ,-29.427023,151.169512,"Audit and Assurance, Accounting and Outsourcing, Tax Advisory and Compliance, and Corporate Secretarial"
Wilson Select,http://www.wilsonselect.com.au,,Accounting,2-10 employees,"Sydney, NSW",Privately Held,2010,"Level 15, 1 Castlereagh Street, Sydney, NSW 2000, AU",-33.866393,151.209717,"Accounting, Finance, Treasury, Balance Sheet Management, Product Control, Career Coaching, and Interview Techniques"
Bell Partners,http://www.bellpartners.com,02 9249 7600,Accounting,51-200 employees,"Sydney, NSW",Privately Held,, ,-38.107327,144.338233,"Accounting, Advisory, Audit, Wealth Creation, Finance, Digital, Legal, Communications, Insurance, IT, and high performance"
Accru Accountants Australia,http://www.accru.com.au,,Accounting,51-200 employees,"Sydney, NSW",Public Company,1984,"Chifley Sq, Sydney, NSW 2000, AU",-33.868633,151.209421,"Accounting, Taxation, Wealth Management, Business and Corporate Advisory, Audit and Assurance, Business Support, International Business, and Finance & Insurance"
Queensland Audit Office (QAO),http://www.qao.qld.gov.au,,Accounting,201-500 employees,"Brisbane, Queensland",,1860,"53 Albert Street, Level 14, Brisbane, Queensland 4000, AU",-27.472187,153.028147,"Public sector, Performance audit, and Financial audit"
Worrells Solvency & Forensic Accountants,http://www.worrells.net.au,,Accounting,51-200 employees,"Brisbane, QLD",Partnership,1973,"Level 8, 102 Adelaide Street, Brisbane, QLD 4000, AU",-27.468235,153.024804, 
Accounting Professional & Ethical Standards Board,http://www.apesb.org.au,,Accounting,11-50 employees,"Melbourne, Victoria",Nonprofit,2006,"Melbourne, Victoria 3000, AU",-37.813046,144.962398, 
Ashfords,http://www.ashfords.com.au,,Accounting,51-200 employees,"Dingley Village, Victoria",Privately Held,2016,"Suite 12, 14 Garden Blvd, Dingley Village, Victoria 3172, AU", , ,"Accounting, Bookkeeping, Superannuation, Audit, Financial Planning, Business Advisory, Taxation, Wealth Planning, and IT Solutions"
Kelly+Partners Chartered Accountants,http://www.kellypartners.com.au,(02) 9923 8088,Accounting,201-500 employees,"North Sydney, NSW",Partnership,2006, , , ,"Private Clients, Private Businesses, Families, Government Relations, Incentives & Innovation, Audit, Cloud Accounting, Corporate Advisory, Estate, Family Law, Finance, Marketing Advisory, Specialist Tax Consulting, Wealth, Retirement (SMSF), Payroll Services, Outsourced CFO, Marketing Advisory, and Lifestyle Management Services"
"Transfer Pricing Solutions - Australia, Singapore, Asia",http://www.transferpricingsolutions.com.au,,Accounting,11-50 employees,"Mornington, VIC 3931",Privately Held,2007, , , ,"Transfer Pricing, Operational Transfer Pricing, BEPS, CbC Reporting, Benchmarking Analysis, Master FIle, Local File, and Global Transfer Pricing Documentation"
Beames and Associates Accounting & Financial Services Pty Ltd,http://www.addvantageaccountants.com.au,,Accounting,2-10 employees,"Fyshwick, Australian Capital Territory",Privately Held,2000,"1 Cessnock St, Fyshwick, Australian Capital Territory 2609, AU",-35.320268,149.177798,"Accounting, Business Advisory, Taxation Advice, Financial Planning and Strategies, Self Managed Super Funds, and Wealth Protection"
Pascoe Partners Accountants,http://www.pascoepartnersaccountants.com.au,,Accounting,11-50 employees,"West Perth, WA",Privately Held,1978, ,-34.223853,150.592736,"Accounting, Taxaxtion. Superannuation, Audit, Agribusiness, Finance, Wealth Management, and Business Advice"
Vertaccount,http://www.vertaccount.com,,Accounting,51-200 employees,,Privately Held,2010, , , ,"Accounts Payable Processing, Invoice Preparation, Full Bookkeeping Services, Payroll & Commissions Processing, Sales Tax Computation and Filing, and Financial Statements Preparation"
Lowers Forensics International,https://www.lowersforensics.com/,,Accounting,11-50 employees,,Privately Held,2018, , , ,"Forensic accounting, Insurance Claims Accounting, Litigation Support, Expert Testimony, Risk Management, and Business Valuations"
HJD Accountants,http://www.google.com,,Accounting,0-1 employees,"Melbourne, Victoria",Sole Proprietorship,2010, ,-38.157143,144.350556,Business Strategy and Plan Process People
Inflo,http://inflosoftware.com,,Accounting,51-200 employees,,Privately Held,2016, , , ,"Audit, Accounting, Software, Analytics, technology, AI, and Accountants"
ITP - The Income Tax Professionals,http://www.itp.com.au,,Accounting,"501-1,000 employees","Bankstown, New South Wales",Public Company,1971,"Suite 2, 15 Bankstown City Plaza, Bankstown, New South Wales 2200, AU",-33.918623,151.03421,"Corporate Tax, Business Tax, and Personal Income Tax"
Bedford CA,http://www.bedfordca.com.au,,Accounting,51-200 employees,"North Sydney, New South Wales",Privately Held,1942, ,-31.909622,115.892159,"Superannuation Services, Buying or Selling a Business, Business Advisory Services, Accounting Services, Taxation and Compliance Services, Business Information Systems, Succession Planning, Business Valuations, Business Structuring, Indirect Taxes, Advocacy, Family Advisory, Private Ancillary Funds, SMSF Services, and Estate Planning"
Esuperfund,https://www.esuperfund.com.au/,,Accounting,51-200 employees,"Melbourne, VIC",Partnership,2006,"Level 23,  40 City Road, SOUTHBANK, Melbourne, VIC 3006, AU", , ,"Accounting, SMSF, superannuation, and self-managed superfunds"
UHY Haines Norton Sydney,http://www.uhyhnsyd.com.au,,Accounting,51-200 employees,"Sydney, NSW",Partnership,,"Sydney, NSW 2000, AU",-33.901541,151.198098,"Accounting, Audit and Assurance, Tax, Superannuation, Corporate Advisory, Business Improvement, Business Migration, Litigation Support, Valuations, and Local Government Services"
UNSW Accounting Society,http://www.accsocunsw.com/,,Accounting,11-50 employees,"Sydney, NSW",Nonprofit,2011,"UNSW, Sydney, NSW 2052, AU",-33.868633,151.209421, 
Banks Group,http://www.banksgroup.com.au/,,Accounting,51-200 employees,"Hawthorn, VIC",Privately Held,1978, ,-35.47194,149.09965,"Accounting, Tax & Business Services, Financial Planning, Management Accounting & Business Development, Audit & Assurance, Wealth & Lifestyle Management, Superannuation, Information Technology, Specialist Taxation Advice, Medical, and Music & Entertainment"
businessDEPOT,http://www.businessdepot.com.au,,Accounting,51-200 employees,"Fortitude Valley, QUEENSLAND",Privately Held,2013,"Level 1, 27 James Street, Fortitude Valley, QUEENSLAND 4006, AU",-27.457154,153.039197,"Business Consulting/Advice, Accounting, Tax, Self-managed Super, Bookkeeping, Valuations, Marketing, Legal Services, Business Broking, Strategy, and Sales"
MYOB ,http://www.banklink.co.nz,,Accounting,51-200 employees,,Privately Held,1986, ,-37.830988,144.990739,Accounting services and data aggregation
BCA Finance, ,,Accounting, ,,,,AU, , , 
Fordham Group,http://www.fordhamgroup.com.au,,Accounting,51-200 employees,"Melbourne, Victoria",Public Company,, ,-37.799347,144.905518,"Accounting & tax, Operational performance, and Strategy & planning"
IDEAL Plan Management,http://idealplan.com.au,1300 800 110,Accounting,51-200 employees,,Privately Held,2016,"Canberra,   AU",-35.470057,148.954507, 
Lumina Chartered Accountants,http://www.lumina.com.au,,Accounting,11-50 employees,"Sydney, NSW",Privately Held,,"420 George St, Sydney, NSW 2000, AU",-33.869766,151.207903,"Outsourced accountancy specialists, Accounting, Advisory, Tax, Assurance, Financial Services, Professional Services, and Consulting"
CST Tax Advisors (Australia),http://www.csttax.com.au,,Accounting,51-200 employees,"Sydney, NSW",Privately Held,1992, ,-34.927737,138.59887,"Income Tax Advice, International Tax and Cross Border Tax Advice, Tax Compliance Services, Professional Accounting, and International Business establishment"
PKF Melbourne,http://www.pkf.com.au,,Accounting,51-200 employees,"Melbourne, VIC",Partnership,1962,"12/440 Collins Street, Melbourne, VIC 3000, AU",-37.817198,144.959859,"Corporate Advisory, Recovery & Insolvency, Audit & Assurance, Valuations, Tax Planning & Compliance, Superannuation, Litigation Support, Due Dilligence & Pre-sale reviews, Corporate Finance & Transaction Support, Succession Planning, Estate Planning, and Family Business"
Cor Cordis,https://www.corcordis.com.au,,Accounting,51-200 employees,"Melbourne, Victoria",Partnership,2006, ,-41.429962,147.147788,"Advisory, Restructuring, Turnaround, and Insolvency"
BRI Ferrier,http://www.briferrier.com.au,,Accounting,51-200 employees,"Sydney, NSW",Partnership,, ,-35.130613,139.267949,"Business recovery, Turnaround management, Business insolvency, Personal insolvency, Forensic accounting, Business advisory, and Responsible entity services"
Countplus Limited (ASX: CUP),http://www.countplus.com.au,,Accounting,"501-1,000 employees","Sydney, NSW",Public Company,2006,"Level 17, 1 Margaret St, Sydney, NSW 2000, AU",-33.865309,151.204708,"Accounting Services, Taxation Services, Financial Planning, Auditing & Assurance, Human Resource Solutions, Business & Corporate Advisory, Corporate Recovery & Insolvency Solutions, Lending Services, and IT & Software"
"Freelance Interior and exterior Designer and 3D Artist, 3D Modeler and Animator",http://www.4ufreelancers.com,,Accounting,0-1 employees,,Public Company,, ,-30.511915,151.644979, 
MASA - Monash Accounting Students'​ Association,https://www.facebook.com/MonashAccountingStudentsAssociation/timeline,,Accounting,11-50 employees,,Nonprofit,2012,"Melbourne,   AU",-37.825071,144.978682, 
LDB Group Australia,https://www.ldb.com.au/,(03) 9875 2900,Accounting,51-200 employees,"Blackburn, Victoria",Partnership,1986,"Suite 4, 1-3 Albert Street, Blackburn, Victoria 3155, AU", , ,"Accounting, Taxation, Business Services, Audit, SMSF, Wealth Management, and Property Consulting"
Sheltons Group,http://www.sheltonsgroup.com,,Accounting,11-50 employees,,Privately Held,1994, ,-33.632052,149.744307,"Business Assistance for International Clients, Legal and Tax Advisory, International Tax Training, and Accountants"
Nexia Perth,https://nexia.com.au/locations/perth#,,Accounting,51-200 employees,"Perth, WA",Sole Proprietorship,1977, ,-34.927224,138.60658,"Audit & Assurance, Business Advisory, Corporate Advisory, Family Office, Finance & Lending Services, Financial Services, Forensic Accounting, Management Consulting, Superannuation Solutions, Taxation Consulting, Nexia Tax Alliance, Company Secretarial, Litigation Support Services, Valuations, and Indigenous Services"
Ascendum Business Services,http://www.ascendum.com.au,+61 2 8417 3140,Accounting,51-200 employees,"Narellan, NSW",Privately Held,2019, ,-33.79603,151.179583,"Bookkeeping, SELF MANAGED SUPERANNUATION FUND (SMSF), Financial and Management Accounting, Account Receivable & Account Payable (AP & AR), Accounting Software Training, Tax Return Preparation, Virtual Employee, and Payroll"
Hall Chadwick WA,http://www.hallchadwickwa.com.au,,Accounting,51-200 employees,"Subiaco, Western Australia",Privately Held,1984,"283 Rokeby Rd, Subiaco, Western Australia 6008, AU",-31.952919,115.823652,"Accounting and Taxation, Strategic Planning, Family Business, Corporate Services, Audit & Assurance, Forensic Accounting, Corporate Tax, International Tax, and Business Advisory"
StewartBrown,http://www.stewartbrown.com.au,(02) 9412 3033,Accounting,51-200 employees,"Chatswood, NSW",Partnership,1939, , , ,"Financial Benchmarking, Personal Taxation, Audit & Assurance, Business, Accounting & Taxation, Consulting Services, Financial Planning, Estate Planning, Investment Advice & Management, Personal Insurance, Information Technology, Aged, Community & Disability Care, Not-for-profit Organisations, and SMSF"
Hall Chadwick Melbourne,http://www.hallchadwickmelb.com.au,,Accounting,51-200 employees,"Melbourne, Vic",Privately Held,2017,"Level 14, 440 Collins Street, Melbourne, Vic 3000, AU",-37.817198,144.959859,"Audit & Risk Assurance, Australian Taxation, International Taxation, Business Management & Consulting Services, Corporate Advisory, Back Office Services, Insolvency & Business Recovery, Transfer Pricing, Cross Border Structuring, Expert Witness Services, Forensic & Investigative, Inbound & Outbound Business, and Litigation Support"
Hamilton Murphy - Restructuring | Insolvency | Bankruptcy,http://www.hamiltonmurphy.com.au,03 8866 7600,Accounting,11-50 employees,"Richmond, Victoria",Privately Held,2010, ,-37.743278,142.028719,"Corporate Insolvency, Voluntary Administration, Liquidation, Receivership, Deed of Company Arrangement, Forensic Accounting, Bankruptcy, and Personal Advisory"
Association of Independent Insolvency Practitioners,https://www.aiip.org.au,291944000,Accounting,51-200 employees,,Nonprofit,2016,"60 Carrington street, suite 2 level 16, sydney, nsw 2000, AU",-33.866758,151.206527,"Insolvency, Liquidation, Bankruptcy, Accounting, Financial structuring, Dispute Resolution, Debt Restructuring, Business Advisory, Mediation, Turn Around Management, and Risk Management"
Clyne Partners Chartered Accountants,http://clynepartners.com.au,03 9642 2205,Accounting,11-50 employees,"Melbourne, Victoria",Privately Held,2010,"221 Queen Street, Melbourne, Victoria 3000, AU",-37.813555,144.959755, 
