Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
P&N Bank,http://pnbank.com.au,,Banking,201-500 employees,"Perth, Western Australia",Privately Held,1990,"556 Wellington St, Level 6, Perth, Western Australia 6000, AU",-31.949976,115.855661,"Banking, Personal Lending, Home Lending, Savings Accounts, Transactional Accounts, Credit Cards, Financial Planning, and Insurance"
Australian Payments Network (AusPayNet),https://www.auspaynet.com.au/,61 2 9216 4888,Banking,11-50 employees,"Payments, Regulation, and Australia",Privately Held,1992,"Level 23, Tower 3, International Towers Sydney, 300 Barangaroo Avenue, SYDNEY, NSW 2000, AU",-33.868125,151.207973,"Payments, Regulation, and Australia"
Finance & Banking Society,http://www.anu-finsoc.org/,,Banking,"1,001-5,000 employees","Canberra, ACT",Nonprofit,2010,"Acton, Canberra, ACT 2601, AU",-35.29885,149.127306, 
Azupay,http://www.azupay.com.au,,Banking,11-50 employees,"Woolloomooloo, New South Wales",Privately Held,2019,"98 Bourke St, Woolloomooloo, New South Wales 2011, AU",-33.872529,151.218662, 
IKON Commodities Pty Ltd,http://www.ikoncommodities.com.au,,Banking,2-10 employees,"Sydney, NSW",Privately Held,2011,"Level 3, 75 King Street, Sydney, NSW 2000, AU",-33.868878,151.206372,"Risk Management, Commodity Brokering, Special Project s, Corporate Strategy (agricultural focus), and Agriculture"
Customer Owned Banking Association,http://www.customerownedbanking.asn.au,,Banking,11-50 employees,"Sydney, New South Wales",Public Company,2006,"Level 11, 35 Clarence Street, Sydney, New South Wales 2000, AU",-33.864219,151.204488,"Industry Body, Financial Services, Banking, Customer Owned Banking, and Advocacy"
Police Bank Ltd.,https://www.policebank.com.au/,,Banking,201-500 employees,"Sydney, NSW",Privately Held,1964,"25 Pelican Street, Surry Hills, Sydney, NSW 2010, AU",-33.878765,151.212919,"Transaction Accounts, Savings Accounts, Credit Cards, Personal Loans, Home Loans, Car Loans, Financial Planning, Insurance, Term Deposits, and International Currency Services"
Defence Bank,http://www.defencebank.com.au,,Banking,201-500 employees,"Melbourne, Vic",Privately Held,1975,"Level 5, 31 Queen Street, Melbourne, Vic 3000, AU",-37.818206,144.961876,"Home Loans, Personal and Car Loans, Credit and Debit Cards, Deposit and Investment Accounts, Retirement Saving Account and Superannuation, Motor Vehicle, Home and Contents and Travel Insurance, and Financial Planning"
Suncorp Bank Broker Partnerships,https://businesspartners.suncorp.com.au/,,Banking, ,,,,"Suncorp Place, Brisbane, Qld 4000, AU",-27.463697,153.00979, 
China Construction Bank Corporation Sydney Branch,http://au.ccb.com/sydney/cn/index.html,,Banking,51-200 employees,"Sydney, NSW",Public Company,,"Level 31, 88 Phillip Steet, Sydney, NSW 2000, AU",-33.868633,151.209421, 
Delphi Bank,http://www.delphibank.com.au,1300 660 550,Banking,51-200 employees,"Melbourne, VIC",Public Company,, ,-38.382704,142.233177, 
Australian Military Bank Ltd,http://www.australianmilitarybank.com.au,,Banking,51-200 employees,"Sydney, New South Wales",Privately Held,1959,"45 Clarence St, Sydney, New South Wales 2000, AU",-33.864645,151.204389,"Loans, Savings, Insurance, DHOAS, Personal Loans, Credit Cards, and Defence Community"
Lazarus Capital Partners,https://lazaruscapitalpartners.com/,,Banking,11-50 employees,"Sydney, New South Wales",Privately Held,, ,-37.812137,144.949456,"Prime Brokerage, Bespoke Prime Services, Broker Dealer, Outsourced Trading, Synthetic Prime Brokerage, Cash Prime Brokerage, Corporate Finance, Hedge Fund Support, Capital Introduction, Trade Execution, High Touch Execution, Proprietary Trading, Alpha Generation, Algorithmic Trading, Portfolio Management, Custody Services, Securities Financing, Direct Market Access, Event Driven Trading, Securities Lending, and Asset Management"
Australian Financial Markets Association,http://www.afma.com.au,,Banking,11-50 employees,,Public Company,,"Sydney,  2000, AU",-33.868125,151.207973, 
Adelaide Bank,http://www.adelaidebank.com.au,,Banking,"1,001-5,000 employees",,Public Company,1994, ,-35.128948,139.250755, 
Arab Bank Australia,https://www.arabbank.com.au/,,Banking,51-200 employees,"Sydney, New South Wales",Privately Held,1986,"Level 7, 20 Bridge Street, Sydney, New South Wales 2000, AU",-33.863369,151.208567,"Everyday Banking, Personal Banking, Business Banking, Home Loans, Property, Insurance, Foreign Exchange, Trade Finance, and Asset Finance"
BNK Bank,http://www.bnk.com.au,,Banking,51-200 employees,"Sydney, NSW",Public Company,1982,"Level 24, 52 Martin Place, Sydney, NSW 2000, AU",-33.867242,151.211001, 
QBANK,https://www.qbank.com.au/,,Banking,51-200 employees,"Brisbane, Queensland",Privately Held,1964,"Level 1, 231 North Quay, Brisbane, Queensland 4000, AU",-27.467523,153.018133,"Home Loans, Personal Loans, Credit Cards, Secured Overdrafts, Insurance, Financial Planning, Car Buying, and Savings"
Kelso Finance Mortgage Brokers 0452597126,http://www.kelsofinancebrokers.com.au,452597126,Banking,0-1 employees,"Brisbane, QLD",Privately Held,2020, ,-19.387849,146.716935,"Home Loans, Mortgage Refinancing, Debt Consolidation, Restructuring, Business Finance, Commercial Loans, Development Finance, Equipment & Asset Finance, High Net Worth, Private Banking, Self-Employed, Sydney, Brisbane, Family Offices, Professional Services, Accountants, Lawyers, Business Owners, Entrepreneurs, C-Suite, Medical Professionals, First Home Buyer, Purchases, Simplify Complex Transactions, Renovations, Construction, Personalised Service, Overdrafts, Insurances, Financial Services, Financials Markets, Business Banking, Credit, Structuring, Negotiation, Industry Experience, deal structuring, Property Markets, Strategy, Collaboration, Networking, Confidentiality, and Referrals"
BCU,https://www.bcu.com.au,1300 228 228,Banking,51-200 employees,"Coffs Harbour, NSW",Privately Held,1970, ,-30.297316,153.11675,"Business Banking, Business Loans, Personal Loans, Credit Cards, Home Loans, and Investments"
Australia's digital ethical bank - coming soon.,http://www.ibagroup.com.au,,Banking,11-50 employees,"Auburn, New South Wales",Privately Held,, , , , 
Gateway Bank,https://www.gatewaybank.com.au,1 300 302 474,Banking,51-200 employees,"Sydney, NSW",Public Company,1955,"Level 10, 68 York Street, Sydney, NSW 2000, AU",-33.870398,151.20658,"Home Loans, Personal Loans, Savings, Term Deposits, Car Loans, Insurance, Personal Banking, Online Banking, Phone Banking, and Funeral Funding"
MFB, ,,Banking,"1,001-5,000 employees",,Partnership,,AU, , , 
Community First Credit Union,https://www.communityfirst.com.au,1300132277,Banking,51-200 employees,"Auburn, NSW",Privately Held,1959,"Auburn, NSW 2144, AU",-33.858335,151.037228,"Deposits, Loans, Insurance, Financial Planning, The customer experience, Personal Loans, Green Loans, Home Loans, and Credit Cards"
Unity Bank Limited,http://www.unitybank.com.au,1300 36 2000,Banking,51-200 employees,"Sydney, NSW",Privately Held,1970,"Level 7, 217 Clarence St, Sydney, NSW 2000, AU",-33.870177,151.205226,"Saving Accounts, Home Loans, Personal Loans, Car Loans, Term Deposits, Credit Card, Financial Planning, International Currency Services, Business Banking, Commercial Loans, SMSF Loans, Business Loans, and General Insurance"
G&C Mutual Bank,http://www.gcmutualbank.com.au/,1300364400,Banking,51-200 employees,"Sydney, NSW",Public Company,1959,"Level 25, 201 Elizabeth Street, Sydney, NSW 2000, AU",-33.873805,151.209447,Financial Services and Banking
Avenue,https://www.avenue.net.au,1300 283 265,Banking,11-50 employees,"Sydney CBD, New South Wales",Public Company,2018,"171 Clarence St, Level 8, Sydney CBD, New South Wales 2000, AU",-33.868538,151.205015,"Business Banking, FinTech, Financial Services, and Digital Banking"
Finlease,http://www.finlease.com.au,1800 358 658,Banking,51-200 employees,"North Sydney, NSW",Privately Held,1989, , , ,"Business Finance, Equipment Finance, Machinery Finance, Mortgage Broker, Mortgage Finance, Commercial Property Loans, Finance Broker, Finance Equipment, and Investment Property Finance"
"Industrial and Commercial Bank of China, Sydney",http://www.icbc.com.au,,Banking,11-50 employees,,Public Company,,"2000, AU",-33.868125,151.207973, 
Clarkson Executive,http://www.clarksonexecutive.com.au,,Banking,0-1 employees,"Sydney, NSW",Sole Proprietorship,2014,"PO box R1433, Royal Exchange, Sydney, NSW  AU",-37.139577,142.519224,"Executive Search/ Recruitment, Financial services, Corporations, Sales, Research, and Portfolio Management"
Illawarra Credit Union,http://www.illawarracu.com.au,13 22 49,Banking,51-200 employees,"Wollongong, NSW",Privately Held,1972,"38-40 Young Street, Wollongong, NSW 2500, AU",-34.428377,150.893892,"Financial Services, Home Loans, Personal Loans, Savings and Transaction Accounts, Term Deposits, Insurance, Savings, Banking, and Transaction account"
LANDBANK,http://walandbank.com,,Banking, ,,,, , , , 
BFSLA - Banking & Financial Services Law Association ,http://www.bfsla.org,,Banking,0-1 employees,"Brisbane, Queensland",Nonprofit,1983,"41 Moray Street, New Farm , Unit 3, Brisbane, Queensland 4005, AU",-27.469309,153.026164, 
Summerland Credit Union,http://www.summerland.com.au/,,Banking,51-200 employees,"Northern Rivers, NSW",Public Company,1964,"Northern Rivers, NSW 2480, AU",-28.65123,153.09448,"Home Loans, Business Banking, Car Loans, Personal Loans, Personal Banking, Insurance, Financial Planning, Credit Cards, Community, Sustainability, and Travel funds"
Bendigo Debtor Finance,http://www.bendigodebtorfinance.com.au,,Banking,"1,001-5,000 employees","Docklands, Victoria",Public Company,, ,-36.754373,144.325405,"Debtor Finance, Factoring, Invoice Finance, Business cash flow management, and Invoice Discounting"
Police Credit Union, ,,Banking,51-200 employees,,Privately Held,,AU, , , 
DayTek Capital,http://www.daytekcapital.com.au,423425362,Banking,2-10 employees,"Gold Coast, Qld",Privately Held,2019,"Gold Coast, Qld 4226, AU",-28.017366,153.42725, 
Teachers Mutual Bank,http://www.tmbank.com.au,,Banking, ,,,, ,-33.864107,151.084648, 
Goldfields Money Limited,http://goldfieldsmoney.com.au,,Banking,11-50 employees,"East Perth, WA",Public Company,1982, ,-37.078532,143.73655,"Home loans, Personal Loans, Savings Accounts, Term Deposits, and SMSF Loans"
Endeavour Mutual Bank,https://endeavour.bank/,,Banking,51-200 employees,"Surry Hills, NSW",Privately Held,1953,"59 Buckingham Street, Surry Hills, NSW 2010, AU",-33.888483,151.207004,"Exceptional Customer Service, Home Loans, Personal Loans & Credit Cards, Everyday Banking, Financial Planning Services, Insurance, Online Services, Term Deposits, and Community Engagement"
gmcu.,http://gmcu.com.au,,Banking,51-200 employees,"Shepparton, VIC",Privately Held,1955,"91 Fryers Street, Shepparton, VIC 3630, AU",-36.379102,145.401893,Banking Services and Loans
LoanDolphin,http://www.loandolphin.com.au,,Banking,2-10 employees,"Sydney, NSW",Privately Held,2015,"11 York Street, Level 5, Sydney, NSW 2000, AU",-33.865394,151.205402, 
Health Professionals Bank,https://www.hpbank.com.au,,Banking, ,,,, ,-37.807462,144.954272, 
Pinewood Community Financial Services Limited,https://www.bendigobank.com.au/public/community/our-branches/pinewood,(03) 9887 6477,Banking,2-10 employees,"Mount Waverley, Victoria",Public Company,2002,"65 Centreway, Mount Waverley, Victoria 3149, AU",-37.890979,145.143963,"loans, banking, finance, advice, insurance, term deposits, sponsorship, donations, business banking, home loans, student loans, small business banknig, accounts, saving accounts, customer service, eftpos, and grants"
Community Bank Clifton Hill - North Fitzroy,https://www.facebook.com/ClifroyBank,,Banking,11-50 employees,"Clifton Hill, VIC",Privately Held,2006,"101 Queens Parade, Clifton Hill, VIC 3068, AU",-37.789568,144.989451,"banking, insurance, great customer service, home loans, sponsorship, building better communities, community bank, grants program, community banking, and personal loans"
Yinsheng bank supplies group Ltd,http://www.yinshengco.com/en/index.jsp,,Banking,51-200 employees,,Privately Held,1989, ,-38.382704,142.233177,bank products supplier and Financial equipment supplier
Queenslanders Credit Union,http://www.queenslanders.com.au,,Banking,51-200 employees,"Brisbane, QLD",Nonprofit,1963,"144 Edward Street, Brisbane, QLD 4000, AU",-27.469862,153.027994,"Experienced Banking Professionals, Friendly, and Helpful"
Peppermint Innovation Limited,http://www.pepltd.com.au/,,Banking,11-50 employees,,Public Company,2016,"Perth,   AU",-31.960773,115.834088,"Mobile Banking Applications, International Remittance, Domestic Remittance, eWallet, and Custom Payment Gateways"
UniBank,https://www.unibank.com.au/,,Banking, ,,,, ,-32.066701,115.835516, 
Sydney Mutual Bank,http://www.sydneymutual.bank,,Banking,51-200 employees,"Surry Hills, New South Wales",Sole Proprietorship,1963,"59 Buckingham St, Surry Hills, New South Wales 2010, AU",-33.888483,151.207004,"Home loans, Car loans, Personal loans, Savings accounts, Term deposits, Credit cards, Financial Planning, Insurance, Business banking, and Travel products"
Paychain Ventures,https://paychain.ventures,,Banking,2-10 employees,,Privately Held,2015, ,-34.395644,150.858628,"Merchant Payments, Loyalty Program, Mobile Payment App, and Consumer to Consumer Payment System"
"Private Banking Services, Bendigo Bank",http://bendigoprivate.com.au,,Banking,11-50 employees,"Melbourne, VIC",Privately Held,1992,"Level 7, 34 Queen Street, Melbourne, VIC 3000, AU",-37.818016,144.96237,"Consumer and Business Loans, Overdrafts/working capital, Credit Cards, Development Finance, Term Deposits, Treasury Deposits, Cash Management Accounts, Savings Accounts, Equipment Finance, Financial Planning, Insurance, Superannuation, and Margin Lending"
Greenhill Caliburn,http://www.greenhillcaliburn.com,,Banking,201-500 employees,,Public Company,,"2000, AU",-33.868125,151.207973, 
JDH Financial Group,http://www.jdhfinancialgroup.com.au,488348827,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,2019,"1 Queens Rd, Suite 1236, Melbourne, Victoria 3004, AU", , ,"broker, finance, home loan, and home loans"
Macquarie Bank Ltd, ,,Banking, ,,,1983, ,-42.886038,147.326428, 
Nexus Mutual,http://www.nexusmutual.com.au,,Banking,11-50 employees,"Docklands, Victoria",Privately Held,1969,"664 Collins St, Docklands, Victoria 3008, AU",-37.817089,144.952945,"Banking, Financial Services, and Community"
Global GRC Alliance Ltd,https://www.globalgrcalliance.com/,,Banking,2-10 employees,,Privately Held,,"Sydney,   AU",-33.868633,151.209421,"Governance, Risk , Compliance, and Transformation"
enteruptors,http://enteruptors.com,,Banking,2-10 employees,"Lindfield, NSW",Privately Held,2015, , , , 
The Capricornian,https://www.capricornian.com.au/,1300314900,Banking,11-50 employees,"Rockhampton, QLD",Public Company,1959, ,-33.59118,150.961,"Personal Loans, Home Loans, Access Accounts, Savings Accounts, Term Deposits, Business Banking, Insurance, Financial Planning, Cash Passports, International Money Transfers, and Investment Loans"
Westpac Banking Group, ,,Banking,"10,001+ employees",,,1817, ,-33.864496,151.202281, 
Mortgage Domayne,http://www.mortgagedomayne.com.au,,Banking,11-50 employees,"Craigieburn, Vic",Privately Held,2015,"Shop B00-04 Craigieburn Central, 340 Craigieburn Rd, Craigieburn, Vic 3064, AU",-37.55699,144.918335, 
HiveEx.com,http://www.HiveEx.com,,Banking,2-10 employees,"Melbourne, VIC",Privately Held,2018,"Melbourne, VIC  AU",-37.825071,144.978682,"Cryptocurrency, Trading, OTC, Financial Services, and Bitcoin"
KADRE,https://www.kadre.com.au,,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,,"Melbourne, Victoria 3000, AU",-37.813046,144.962398, 
FDATA A&NZ,http://www.fdata.global,,Banking,2-10 employees,"Sydney, NSW",Nonprofit,, , , , 
LCU,http://www.lcu.com.au,,Banking,11-50 employees,"North Ryde, NSW",Public Company,1954,"Shop 1 ""The Village""​, 3 Julius Avenue, North Ryde, NSW 2113, AU",-33.797152,151.142598,"Home Loans, Car Loans, Refinancing, North Ryde, Banking, Business Banking, and Financial help, planner, savings, investment"
Savings & Loans Credit Union, ,,Banking,"501-1,000 employees",,Privately Held,,AU, , , 
Gallantree,https://www.gallantree.com.au,,Banking,2-10 employees,"Brisbane, Queensland",Privately Held,2020, , , ,Digital Banking and Private Banking
WAW Credit Union,http://www.wawcu.com.au,,Banking,51-200 employees,"Wodonga, Victoria",Public Company,1956,"11 Stanley Street, Wodonga, Victoria 3690, AU",-36.122487,146.886674,"Customer Owned Banking, Home Loans, Community Support, Transaction & Savings Accounts, Insurance, and Investments"
Iridium Private Pty Ltd,https://iridiumprivate.com.au/,,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,2017,"287 Collins St, Melbourne, Victoria 3071, AU",-37.816222,144.964532,"banking, private banking, business banking, property funding, financing, and funding"
Horizon Bank - Australia,https://www.horizonbank.com.au,1300 366 565,Banking,51-200 employees,"Wollongong, NSW",Nonprofit,1964, ,-27.55572,152.922972, 
YCU,http://ycu.com.au,,Banking,11-50 employees,"Brisbane, Queensland",Nonprofit,1967,"Sarina Russo River Centre, 100 Eagle Street, Brisbane, Queensland 4000, AU",-27.466532,153.029921,"Discount home/investment loans, High yielding Netsaver on-line savings account, Personal and Car Loans, High interest rate Term Deposits, Quick and easy loan approvals, and Fast and simple loan settlements"
Comind,http://-,,Banking,"1,001-5,000 employees",,Privately Held,, , , , 
PO TRADE,http://pocapital.com.au,61282774316,Banking,2-10 employees,"North Sydney, New South Wales",Privately Held,2020, ,-37.561181,143.859811, 
NCX ,https://www.ncx.com.au,,Banking,2-10 employees,"Subiaco, WA",Privately Held,2017,"First Floor 292 Rokeby Road , Subiaco, WA 6008, AU",-31.953145,115.824215, 
Finance@work Pty Ltd,http://www.financeatwork.com.au,,Banking,11-50 employees,"Kingsgrove, NSW",Privately Held,,"2C, Lvl 2, 322 Kingsgrove Rd, Kingsgrove, NSW 2208, AU",-33.943855,151.102107, 
Women in Credit Risk - Australia,http://womenincreditrisk.com,,Banking,2-10 employees,"Melbourne, Victoria",Nonprofit,2018,"140 William St, Melbourne, Victoria 3000, AU",-37.81595,144.958598,"credit risk, banking and finance, Analytics, CCR, Gender diversity, Managment, Mentorship, and Networking"
Intech Credit Union,http://www.intechcu.com.au,,Banking,11-50 employees,"St Leonards, NSW",Public Company,1962, ,-33.797418,151.142756,"Home & Personal Loans, Savings & Investments, Insurance, Foreign Exchange, Financial Planning, and Wealth Soloutions"
INET External Support ( Forex World Pty Ltd - Australia ),http://www.forexworld.com.au,,Banking,51-200 employees,"Sydney, PRESTONS, NSW",Privately Held,,"Unit 6, 332 Hoxton Park Road, Sydney, PRESTONS, NSW 2170, AU",-33.928891,150.884482, 
Orange Credit Union,http://orangecu.com.au,263624466,Banking,11-50 employees,"Orange, New South Wales",Nonprofit,1964,"288 Summer St, Orange, New South Wales 2800, AU",-33.284371,149.102592,"Home Loans, Car Loans, Personal Loans, Deposits, Insurance, and Foreign Exchange"
Curtin Wall Street Club,https://www.curtinwsc.com/,,Banking,2-10 employees,"Perth, WA",Self-Employed,2012,"Kent Street, Bentely, Perth, WA 6102, AU",-31.960773,115.834088,"Finacial Services, Consulting, Investment Banking, and Careers"
Firefighters Mutual Bank,https://www.fmbank.com.au,,Banking, ,,,, ,-32.715549,151.52694, 
Instant Pay,https://instantpay.net.au,755454513,Banking,2-10 employees,"Brisbane, Queensland",Privately Held,2020,"Brisbane, Queensland  AU", , , 
Archer Private,https://archerprivate.com/,430276874,Banking,2-10 employees,"Prahran, Victoria",Privately Held,2019,"39-40 Porter St, Prahran, Victoria 3181, AU",-37.854771,145.006676,"No Pre-Sales construction Finance, Landbank Funding, Mezzanine Funding, Residual Development Stock Loans, WORKING CAPITAL , SUBDIVISION FUNDING, REFINANCE , URGENT SETTLEMENT , and ATO DEBT"
ZENRG Finance Pty Ltd,http://www.zenrgfinance.com.au,,Banking,2-10 employees,"Sydney, New South Wales",Privately Held,,"58 Victoria Road, North Parramatta, Sydney, New South Wales 2151, AU",-33.808858,151.009776,"Home Loans, Commercial Loans, Banking Solutions, and Insurances"
Open Analytics,https://www.epsilon-0.com.au/,,Banking,2-10 employees,"Sydney, NSW",Public Company,,"Sydney, NSW 2000, AU",-33.901541,151.198098, 
Sipora,https://sipora.com.au,,Banking,2-10 employees,"Sydney, New South Wales",Privately Held,2018,"Darlinghurst Rd, Sydney, New South Wales  AU",-33.868633,151.209421, 
