Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
Go-To Skincare Pty Ltd,http://www.gotoskincare.com,,Cosmetics,11-50 employees,"Surry Hills, New South Wales",Privately Held,2013,"91 Campbell St, Level 2, Surry Hills, New South Wales 2010, AU",-33.880521,151.210456,"Skin care, Cosmetics, and Lolcats"
L'Occitane Australia,https://au.loccitane.com/,,Cosmetics,201-500 employees,"Sydney, NSW",Public Company,1976,"Level 8, 157 Walker Street, North Sydney, Sydney, NSW 2060, AU",-33.837655,151.209456,"Retail, Luxury, Cosmetics, and Beauty"
Total Beauty Network,http://www.tbn.com.au,,Cosmetics,51-200 employees,,Privately Held,2004,"813 Springvale Road, Mulgrave,  3170, AU",-37.924627,145.157031,"Sales and Marketing, New Product Development, Distribution, Cosmetics, and Beauty"
Gorgeous Cosmetics,http://www.gorgeouscosmetics.com,,Cosmetics,51-200 employees,"Inglewood, CA",Public Company,1999, ,-33.419103,149.579422,Cosmetics and Beauty
Nutrimetics,http://www.nutrimetics.com.au,,Cosmetics,51-200 employees,,Public Company,,AU, , , 
Intraceuticals,http://www.intraceuticals.com,,Cosmetics,51-200 employees,"Hawthorn East, VIC",Privately Held,2002, , , ,"Oxygen treatments and Recommended by Skincare Professionals, Celebrities, Make-up Artists, Photographers and stylists all over the world"
bellabox,http://www.bellabox.com.au,,Cosmetics,11-50 employees,"Richmond, Victoria",Privately Held,2011,"25 Butler St, Richmond, Victoria 3121, AU",-37.810444,144.994358,"E-Commerce, Subscription, Beauty Products, Social Media, Pop Culture, Beauty, Makeup, Skincare, Haircare, Wellness, Grooming, Self care, and Gifting"
Hismile,http://www.hismileteeth.com,,Cosmetics,51-200 employees,"Gold Coast, QLD",Privately Held,2014,"Shop 1, 2563 Gold Coast Highway, Gold Coast, QLD 4218, AU",-28.017366,153.42725, 
RATIONALE,https://www.rationale.com,1800 350 821,Cosmetics,51-200 employees,"Richmond, VIC",Privately Held,1992,"44 Cubitt Street, Richmond, VIC 3121, AU",-37.819635,145.003879,"Skin Treatments, Luxury Skincare, Skin Consultation, Australian Made, Research, Innovation, Dermatology, Melbourne Made, and Cosmeceutical"
Beauty Warehouse,http://www.beautywarehouse.com.au,,Cosmetics,201-500 employees,"Mortdale, New South Wales",Public Company,1992,"82 - 84 Captain Cook Drive, Caringbah, New South Wales 2223, AU",-34.03266,151.122686, 
ModelCo Pty Ltd,http://www.modelcocosmetics.com,,Cosmetics,11-50 employees,"Sydney, NSW",Public Company,2002,"809-821 Botany Rd, Sydney, NSW 2018, AU",-33.868633,151.209421,"Cosmetics, Retail, Innovation, and Beauty solutions"
Skin Virtue,http://www.skinvirtue.com,61280523500,Cosmetics,2-10 employees,"Sydney, New South Wales",Privately Held,2011,"2/3 Nursery Road, Campbell Town, Sydney, New South Wales 2560, AU",-33.868633,151.209421,"Professional Skin Care, Skin Care, Skin Care Products, Spa, Dermatology, Day Spa, Medi Spa, Skin Care wholesale, Skin Care Manufacturer, Salon, clean beauty, skin, dematology, cleanbeauty, antiaging, wrinkles, skinspots, acne, skin, beauty, clinic, aesthetician, and Cosmeceutical"
Naturally Safe Cosmetics Australia Pty Ltd,https://naturallysafe.com.au/,1300881737,Cosmetics,2-10 employees,"Gladesville, NSW",Privately Held,2007,"PO Box 660, Gladesville, NSW 1675, AU",-33,146,"organic skincare, natural cosmetics, natural bath & body care, and organic hair care"
Cosmax Prestige Brands Australia,http://www.cosmax.com.au,,Cosmetics,51-200 employees,,Privately Held,,"Unit 13/ 2 - 12 Beauchamp Road, Banksmeadow,  2019, AU",-33.960598,151.219577, 
Nude by Nature,http://www.nudebynature.com,,Cosmetics,51-200 employees,"Sydney, NSW",Privately Held,2008, ,-37.837463,144.943544,"beauty, cosmetics, makeup , cruelty-free, and natural ingredients"
Alpha-H,http://alpha-h.com/,1800 659 777,Cosmetics,51-200 employees,"Helensvale, Queensland",Privately Held,1995,"Unit 1-2, 18 Millennieum Circuit, Helensvale, Queensland 4212, AU",-27.931837,153.339956,"Skincare, Australian Owned, Operated and Manufactured, Anti-Ageing, Beauty Industry, Cutting Edge Technology, At the forefront of the Australian Cosmetics Industry, Cosmetic Manufacturing, Innovative Formulations, Skin Resurfacing, Australian Skincare, Australian Brand, and Beauty"
Heat Group,http://www.heatgroup.com.au,,Cosmetics,51-200 employees,"Scoresby, VIC",Privately Held,2000,"35 Centre Road, Scoresby, VIC 3179, AU",-37.902379,145.234908,"Beauty, Cosmetics, Personal Care, and Consumer Products"
WonderSmile,http://www.wondersmile.com,,Cosmetics,51-200 employees,"Surry Hills, New South Wales",Privately Held,,"35 Buckingham St, Surry Hills, New South Wales 2010, AU",-33.886989,151.207303, 
Trimex Pty Ltd,http://www.trimex.com.au,,Cosmetics,51-200 employees,,Privately Held,1973,AU, , , 
Couleur Caramel Officiel,https://www.couleur-caramel.com,04 75 71 32 67,Cosmetics,51-200 employees,,Privately Held,2003, , , ,"makeup bio, maquillage bio, maquillage naturel, makeup naturel, organic makeup, and natural makeup"
The Australian Glow,http://www.theaustralianglow.com,,Cosmetics,11-50 employees,"Port Melbourne, Victoria",Privately Held,2017,"48 Bertie St, Port Melbourne, Victoria 3207, AU", , , 
True Solutions (Australia),http://www.true-solutions.com.au,1800 808 993,Cosmetics,11-50 employees,"Rosebery, NSW",Public Company,1995,"CoHouse Studios, Level 1, 36 Morley Avenue, Rosebery, NSW 2018, AU",-33.926459,151.209055,"Beauty, Anti-Ageing, Import, Cosmetics, Light Therapy, Skincare, Aesthetics Training, and Cosmeceuticals"
Liberty Belle Rx,http://www.libertybellerx.com,,Cosmetics,11-50 employees,"Toorak, VIC",Privately Held,2018,"Toorak, VIC 3142, AU",-37.841617,145.017609, 
Dermocosmètica,http://www.dermocosmetica.com.au,,Cosmetics,2-10 employees,"Melbourne, Victoria",Privately Held,2011,"Unit 8, 14-16 Lens Street, Coburg North, Melbourne, Victoria 3058, AU",-37.731383,144.951574,"Cosmeceuticals, Dermocosmetics, Therapeutic Skincare, and SKINCARE"
PharmaScope - Cosmetic Manufacturing Chemists,https://pharmascope.com.au/,894517766,Cosmetics,11-50 employees,"Welshpool, Western Australia",Privately Held,2004,"Welshpool Rd, Welshpool, Western Australia 6106, AU",-31.992601,115.949313,"Toothpaste, Lipbalms, Skin Care, Hair Care, Cosmeceutical, Veterinary, Self Tanning, Deodorants, Hot Pour, Powders, Tablets, Shampoo, Natural Formulations, and Clean Beauty"
Face Halo,http://www.facehalo.com,,Cosmetics,11-50 employees,"Applecross, Western Australia",Privately Held,2017, ,-30.513091,151.66756,Makeup Removal
Avenir Ingredients,https://www.aveniringredients.com.au/,02 9166 2989,Cosmetics,11-50 employees,"North Strathfield, NSW",Privately Held,2013,"22 George St, Suite 7, Level 1, North Strathfield, NSW 2137, AU",-33.862692,151.087357,"Australian Botanicals, New Zealand Botanicals, Natural Preservatives, Cutting-Age Skincare actives, Sustainable Haircare actives, Ceramides, Peptides, Growth Factors, COSMOS ingredients, Organic Ingredients, plant-derived emollients, Natural Specialty Waxes, Natural Exfoliators, Delivery Systems, Pigments, Natural Fragrances, RSPO certified, and Emulsifiers"
Alya Skin Australia,https://www.alyaskin.com/,,Cosmetics,11-50 employees,"Melbourne, Victoria",Privately Held,2019,"Melbourne, Victoria 3205, AU",-37.833409,144.956973, 
Institute of Personal Care Science,http://www.personalcarescience.com.au,,Cosmetics,2-10 employees,"Coolum Beach, QLD",Privately Held,2007,"Unit 14/2 Focal Avenue, Coolum Beach, QLD 4573, AU",-26.527436,153.08251,"Registered Training Organisation; Contract formulators and Regulatory Affairs consultants for cosmetics, personal care, sunscreens, therapeutic goods, and complementary medicines and wholistic foods."
evo,http://www.evohair.com,,Cosmetics,51-200 employees,"Adelaide SA , SA",Privately Held,,"5/12 Gilles St, Adelaide SA , SA 5000, AU",-34.780893,138.604599, 
Synergie Skin,http://www.synergieskin.com/,1300689619,Cosmetics,11-50 employees,"Melbourne, Victoria",Privately Held,2005,"125 Highbury Road, 22, Melbourne, Victoria 3125, AU",-37.825071,144.978682,"cosmeceuticals, mineral makeup, cosmetics, beauty, and skincare"
Fuchsia Brands Pty Ltd,http://www.fuchsia-brands.com,,Cosmetics,51-200 employees,"Melbourne, Victoria",Privately Held,2019,"Melbourne, Victoria 3000, AU",-37.813046,144.962398, 
Happy Skin Co,http://happyskinco.com,,Cosmetics,11-50 employees,"Sydney, NSW",Privately Held,2017,"Bondi Beach, Sydney, NSW 2026, AU",-33.868633,151.209421, 
Beautopia Hair & Beauty ,http://www.beautopia.com.au,02 9882 3100,Cosmetics,51-200 employees,"Sydney, NSW",Privately Held,2005,"Unit-6, 27 Mars Rd, Sydney, NSW 2066, AU",-33.810569,151.149864,"beauty products, hair products, nails supplies, beauty wholesaler, australian owned, salon supplies, hairdressing products, salon spa products, hair and beauty, whole saler, wholesale, beauty, and hair"
Enervest, ,,Cosmetics,0-1 employees,"Camberwell, Victoria",Partnership,2009, , , ,"PV solar, Solar installation, Battery installation including Tesla, and Renewables"
Damn Good Beauty,https://damngoodbeauty.com.au,,Cosmetics,11-50 employees,"Marrickville, New South Wales",Privately Held,,"4-6 Meeks Rd, Marrickville, New South Wales 2204, AU",-33.910763,151.162884,Beauty and Brands
ASAP Skin Products,http://www.asapskinproducts.com,,Cosmetics,11-50 employees,,Privately Held,,AU, , , 
Asquan Group ,http://www.asquangroup.com,+852 3650 2800,Cosmetics,11-50 employees,"San Po Kong  - Kowloon, Hong Kong",Privately Held,2008, ,-38.148594,144.36658,"Primary Packaging for Cosmetics & Skincare, Turn-key Cosmetics & Skincare, Make-Up Brushes & Beauty Tools, and Cosmetic Bags & Pouches"
SENSORI+,http://www.sensoriplus.com,,Cosmetics,51-200 employees,"Melbourne, Victoria",Privately Held,2018, , , ,"Cosmetics, Fragrance, Wellbeing, Skincare, Sustainability, Clean Beauty, Detoxifying Air Mist, Air Quality, Vegan, Australian, Serum In Oil, Luxury Beauty, Clean Air, Detoxifying Candle, Global, Natural, Organic, Innovative, and Consumer Centricity"
Sodashi Skin Care,http://www.sodashi.com,,Cosmetics,11-50 employees,"North Fremantle, WA",Privately Held,1999,"126 Stirling Highway, North Fremantle, WA 6159, AU",-32.024386,115.753359,"Natural Skincare, Organic, Spa, Beauty, Cruelty free, and Skincare"
My Little Lab,http://www.mylittlelab.com.au,,Cosmetics,0-1 employees,"Bondi Beach, NSW",Self-Employed,,"Bondi Beach, NSW 2026, AU",-33.889485,151.272308, 
CareLine,https://www.careline.com,,Cosmetics,51-200 employees,"Northmead, New South Wales",Public Company,1982, , , ,"non-surgical cosmetic skincare treatment, depilatories, CosmoPharmaceuticals, nose strips, Organic cosmetics, skincare, cosmetics manufacturing, dermaceuticals, natural cosmetics, and wax strips"
MineTan Body Skin,https://minetanbodyskin.com/,,Cosmetics, ,,,, ,-36.770934,144.26322, 
Aware Environmental Ltd,http://www.awaregroup.com.au,+61 3 8789 2200,Cosmetics,201-500 employees,"Dandenong South, Victoria",Privately Held,1994,"282 - 300 Hammond Rd, Dandenong South, Victoria 3175, AU",-38.023281,145.203544,"Certified Organic, Eco-Responsible Products, Therapeutic Goods, and Cosmeceutical"
AMN Distribution ,https://www.linkedin.com/company/amn-distribution/,,Cosmetics,51-200 employees,,Sole Proprietorship,, ,-37.825213,144.733975,"Product Listing, Wholesale, Distribution, Health and Beauty Product Distribution, Merchandising, Visual Merchandising, Marketing, and Planogram Design"
BM cosmetics for men,http://www.bmcosmetics.com.au/,,Cosmetics,11-50 employees,,Sole Proprietorship,2015, , , ,"cosmetics for men, skincare for men, mancealer, and bb cream"
Inika,http://www.inikacosmetics.com,,Cosmetics,11-50 employees,,Privately Held,, , , , 
Sasy n Savy Pty Ltd - Manufacturer of Organic Vegan Skincare & Wellbeing Products - sasynsavy.com,http://www.sasynsavy.com,+61 2 9522 9967,Cosmetics,51-200 employees,"Miranda, New South Wales",Privately Held,2000,"30/205 Port Hacking Road, Miranda, New South Wales 2228, AU",-34.025592,151.105435,"Manufacture Skincare and Wellbeing Products, OEM / Private Label Manufacturer, We service Travel Retail market, Product Development Consulting, Sell Hotel & Resort Amenities, We supply Spas, Beauty Salons, Speciality retailers, and Natural Skincare Manufacturer"
Kester Black,http://www.kesterblack.com,,Cosmetics,11-50 employees,,Privately Held,2014, ,-32.252552,148.578901, 
The Institute Of Makeup,http://www.TheInstituteOfMakeup.com.au,,Cosmetics,2-10 employees,"Varsity Lakes, Queensland",Educational Institution,,"194 Varsity Pde, Varsity Lakes, Queensland 4227, AU",-28.079249,153.410869,"Makeup Artistry, Makeup Lessons, Makeup School, Cosmetology, Makeup Artist, Bridal Makeup, Beauty Makeup, and Marketing"
Professional Beauty Solutions (PBS),http://www.probeautysolutions.com.au,1800 625 387,Cosmetics,11-50 employees,"Kurnell, NSW",Privately Held,,"Unit 9, 18-28 Sir Joseph Banks Drive, Kurnell, NSW 2231, AU",-34.019826,151.206715,"Skincare, Tanning, Beauty, Cosmetics, Marketing, Laser treatment, IPL treatment, LED treatment, Salon, spas & clinics, Salon beauty supplies, Mineral makeup, Body sugaring, Salon beauty brands, Cosmeceutical skincare, Internal skincare, Salon beauty supplier, Spray tan, Beauty brand distributor, Beauty supplier, and Salon education & training"
Ere Perez Natural Cosmetics,http://ereperez.com,,Cosmetics,11-50 employees,"Tamarama, New South Wales",Privately Held,2004,"274 Bondi Rd, Tamarama, New South Wales 2026, AU",-33.898872,151.270138,"cosmetics, natural cosmetics, natural skincare, skincare, online cosmetics, and natural beauty"
Results Laser Clinic,http://resultslaserclinic.com.au,02 7809 8898,Cosmetics,201-500 employees,"Parramatta, NSW",Privately Held,2004,"Unit 8, 142 James Ruse Drive, Parramatta, NSW 2150, AU",-33.817287,151.021449,"Laser Hair Removal, Photo Rejuvenation, Chemical Peels, Acne Treatments, Clinical Skin Needling, Anti Wrinkle Treatments, Dermal Fillers, Non Surgical Lifts, Fat & Cellulite Reduction, Microdermabrasion, Oxygen Therapy, Stretch Mark Removal, Fractional RF Laser, Pigmentation Laser Removal, cosmetic injectables, Skin care, Body Contouring, IPL, Fractional RF, and LED Light Therapy"
Mr. Smith,http://mr-smith.com.au,,Cosmetics,11-50 employees,"Collingwood, Victoria",Privately Held,2014,"Rokeby St, Collingwood, Victoria 3066, AU",-37.802002,144.988136,Haircare
Skinstitut,http://www.skinstitut.com,,Cosmetics,11-50 employees,"St Leonards, NSW",Privately Held,2008,"6-8 Herbert Street, 32, St Leonards, NSW 2065, AU",-33.823701,151.193325,"Cosmedics, Cosmedical, Beauty, Skincare, and Health & Wellness"
Adorn Cosmetics,http://www.adorncosmetics.com.au,398084422,Cosmetics,11-50 employees,"Mineral, organic, toxic free cosmetics and Australian made and owned",Privately Held,2008,"Clayton ,  3168, AU",-37.916715,145.131804,"Mineral, organic, toxic free cosmetics and Australian made and owned"
IGEA Group,http://www.igeagroup.com,+61 2 9268 7555,Cosmetics,51-200 employees,"Sydney, NSW",Privately Held,,"Level 6, 27 Macquarie Place, Sydney, NSW 2000, AU",-33.863265,151.209519,"Beauty, cometics, skincare, beauty devices, Health Supplements, and Medical Devices"
Delorenzo Haircare,http://www.delorenzo.com.,,Cosmetics,51-200 employees,"Silverwater, NSW",Privately Held,,"103 carnarvon street, Silverwater, NSW 2128, AU",-33.834059,151.036172, 
The Quick Flick,https://thequickflick.com.au/,,Cosmetics,11-50 employees,"Perth, Western Australia",Privately Held,2017,"Subiaco Rd, Perth, Western Australia 6008, AU",-31.960773,115.834088,"Makeup, Beauty, Beauty Products, Eyeliner, Winged Eyeliner, and Cosmetics"
New Directions Australia,http://www.newdirections.com.au,+612 8577 5999,Cosmetics,51-200 employees,,Privately Held,1988,"2204, AU",-33.911259,151.155552, 
SKINLAB®,http://skinlab.com.au,,Cosmetics,11-50 employees,"Sydney, NSW",Partnership,1991,"Bella Vista, Sydney, NSW 2153, AU",-33.868633,151.209421,Dermatology and Skincare Research
muk Haircare Pty Ltd,http://www.mukhair.com,1300768264,Cosmetics,51-200 employees,"Keilor Park, Victoria",Privately Held,2006,"39 Translink Dr, Keilor Park, Victoria 3042, AU",-37.722615,144.847314, 
O&M Haircare,https://www.originalmineral.com.au,296955000,Cosmetics,11-50 employees,"Darlinghurst, New South Wales",Privately Held,2008, , , , 
The Jojoba Company Australia,https://www.thejojobacompany.com.au,02 9651 3030,Cosmetics,11-50 employees,"Castle Hill, NSW",Privately Held,2009,"40 Carrington Road, Unit 5, Castle Hill, NSW 2154, AU",-33.72993,150.98517,"100% Natural Australian Jojoba, Anti-Ageing, Australian Made & Owned, Not Tested On Animals, Face & Body, Natural Skincare, Clinically Proven Results, Jojoba From Our Own Australian Farm, Products For All Skin Types, and vegan"
InnovaDerma PLC,http://www.innovaderma.com,,Cosmetics,11-50 employees,,Public Company,2013, , , , 
b.tan,https://btan.rocks/,,Cosmetics, ,,,, , , , 
Natio,http://www.natio.com.au,,Cosmetics,51-200 employees,"Heidelberg West, Victoria",Privately Held,1993,"110 Dougharty Rd, Heidelberg West, Victoria 3081, AU",-37.73434,145.049893, 
BONDI WASH,http://bondiwash.com.au,,Cosmetics,11-50 employees,"Paddington, NSW",Privately Held,2013,"396 Oxford St, Paddington, NSW 2021, AU",-33.886926,151.230531, 
Nic & Co. Organic,https://www.niccoorganic.com,,Cosmetics,0-1 employees,"TOWNSVILLE, QLD",Sole Proprietorship,2019,"PO BOX 217, HYDE PARK, TOWNSVILLE, QLD 4812, AU",-19.26639,146.80569,"Organic, Self Tanning, Natural , Vegan, Ethical, Australian Owned, Australian Made, and Cruelty Free"
Bunjie,http://www.bunjie.com,,Cosmetics,2-10 employees,,Privately Held,,"Sydney,   AU",-33.868633,151.209421, 
Concept Labs Australia,http://www.conceptlabs.com.au,07 5437 9303,Cosmetics,11-50 employees,"Warana, Queensland",Privately Held,1998,"20 Premier Cirt, Warana, Queensland 4575, AU",-26.72677,153.119397,"Sun Protection, Cosmetics, Skin Care, Hand Sanitiser, Aloe Vera soothing Gel, GMP Certified, SEDEX Member, Product Formulation,  Manufacturing, Regulatory Affairs and Compliance, Full Private Label Service, and Quality Assurance and Quality Control"
Permanent Make-up,http://www.permanentmake-up.info,,Cosmetics,2-10 employees,,Privately Held,1999,"2257, AU",-33.516847,151.343166,"acne, age, AHA, aloe, Alopecia (loss of hair), areola reconstruction, Beauty, Beauty Products, and Centr - Beauty Salon - Beauty Services - Beauty Therapy - Beauty Treatment - Cosmetics - Make Up - Makeup - Make-up - Tattoo - Weddings"
Clinique Australia,http://www.clinique.com.au,,Cosmetics,"501-1,000 employees",,Public Company,,"Sydney,   AU",-33.868633,151.209421, 
My Perfect Cosmetics Company,http://www.myperfectcosmeticscompany.co.uk,,Cosmetics,51-200 employees,"Port Melbourne, Victoria",Privately Held,2016, , , , 
PATRICKS,http://www.patricks.com.au,,Cosmetics,11-50 employees,"Sydney, NSW",Privately Held,2007,"PO Box 266, Bondi, Sydney, NSW 2026, AU",-33.868633,151.209421, 
Formulae 8 Pty Ltd,http://www.formulae8.org,61295676888,Cosmetics,2-10 employees,"Rockdale, New South Wales",Privately Held,2007,"39 George St, Unit 3, Rockdale, New South Wales 2216, AU",-33.951829,151.140388,"1. Formulation & Product Design, 2. Concept Development, 3. Packaging Development, 4. New Product Development, 5. Consumer & Sensory Science, 6. Technology Scouting & Platform Development, 7. Claims Development & Substantiation, and 8. Intellectual Property Strategy"
LANO lips + face + allover. ,http://www.lanolips.com,,Cosmetics,11-50 employees,"Sydney, New South Wales",Privately Held,2011,"Sydney, New South Wales 2000, AU",-33.868125,151.207973,"Natural skincare, lanolin, cosmetics, and manufacturing"
Perfumery,http://www.perfumery.com.au,,Cosmetics,11-50 employees,"Warriewood, New South Wales",Privately Held,1994,"Warriewood, New South Wales 2102, AU",-33.688696,151.294127,"Customer Service, Product Sourcing, Quoting, and Range of Fragrances available"
Origani ,https://www.origani.com.au,390216181,Cosmetics,51-200 employees,"Melbourne, Victoria",Privately Held,2005,"2/118-122 Malcolm Road, Melbourne, Victoria 3195, AU",-37.825071,144.978682,"Cosmetics, Skincare, Organic skincare, Makeup, Mineral Makeup, Beauty, facialservice, treatmentservice, and makeupservice"
ishga Skincare,http://www.ishga.com,01851 703278,Cosmetics,11-50 employees,,Privately Held,2013, ,-37.775874,145.01844, 
Peppy Co,http://www.peppyco.com,,Cosmetics,2-10 employees,"Gold Coast, QLD",Privately Held,2017,"Gold Coast, QLD 4215, AU",-28.017366,153.42725, 
derma aesthetics,http://www.dermaviduals.com.au,,Cosmetics,51-200 employees,"Sydney, NSW",Privately Held,, ,-27.389523,153.031118,"Education, Skin Correction, Skin Diagnostic Equipment, Clinic Growth and Development, Skin Education, and Business Development"
The Australian Society of Cosmetic Chemists,https://ascc.com.au/,,Cosmetics,2-10 employees,,Nonprofit,1961, , , , 
Motives by Loren Rindinger,http://www.endlessmall.com.au,,Cosmetics,0-1 employees,,Privately Held,,"6018, AU",-31.887065,115.786403, 
Grown Alchemist,http://www.grownalchemist.com,61390238851,Cosmetics,11-50 employees,,Privately Held,2004,"Melbourne,   AU",-37.825071,144.978682, 
Caronlab Australia,http://www.caronlab.com.au,,Cosmetics,51-200 employees,"North Geelong, Victoria",Privately Held,1979,"148 - 150 Victoria Street, North Geelong, Victoria 3215, AU",-38.122393,144.345096,"Manufacture of Hair Removal Waxes & Associated Products, Specialised Training, Contract Manufacturing, Import & Export, and Manufacture of Massage Oils"
Starshine Marketing Pty Ltd.,http://www.starshinemarketing.com,,Cosmetics,51-200 employees,"Braeside, Victoria",Sole Proprietorship,,"2/118 - 122 Malcolm Road, Braeside, Victoria 3195, AU",-38.012344,145.117344,"Skincare, Cosmetics, Beauty, and Makeup"
Dermalogica Australia,http://www.dermalogica.com.au,02 8437 9600,Cosmetics,51-200 employees,"Crows Nest, New South Wales",Privately Held,1995,"111 Chandos St, Crows Nest, New South Wales 2065, AU",-33.822328,151.200324, 
Natural Beauty Care,http://www.naturalbeautycare.com.au,,Cosmetics,51-200 employees,"Highett, Victoria",Privately Held,1994,"8 Teton Court, Highett, Victoria 3192, AU",-37.949272,145.053398,Bath & Beauty Products and Contract Manufacturing
BLC Cosmetics,http://www.blccosmetics.com,+61 2 8667 4695,Cosmetics,11-50 employees,"Macquarie Park, NSW",Public Company,1974,"L2, 68-72 Waterloo Road, Macquarie Park, NSW 2113, AU",-33.781232,151.121954, 
sskin,http://www.sskinaus.com,756609691,Cosmetics,2-10 employees,,Partnership,2020,"Gold Coast,   AU",-28.017366,153.42725, 
Skin Juice Nutraceuticals - Natural and Organic Professional Skin Care,http://www.skinjuice.com.au,,Cosmetics,2-10 employees,"Beresfield, New South Wales",Privately Held,1996,"4 Elwell Cl, Beresfield, Beresfield, New South Wales 2232, AU",-32.800744,151.631648,"Professional Skin Care and treatments, Facials and Body treatments, Natural and Organic Skin care, Face and Body care, Healthy, active products, Australian Manufacture, Mummys Tummy stretch mark prevention cream, and Quality customer service"
Hey Bud Skincare,https://heybudskincare.com/,,Cosmetics,2-10 employees,"Melbourne, Victoria",Privately Held,2019,"Melbourne, Victoria 3000, AU",-37.813046,144.962398, 
